"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"8600000US01569","ZCTA5 01569","109179","null","5420","null",
"8600000US01570","ZCTA5 01570","59844","null","8118","null",
"8600000US01571","ZCTA5 01571","69659","null","8161","null",
"8600000US01581","ZCTA5 01581","119148","null","9394","null",
"8600000US01583","ZCTA5 01583","91696","null","15120","null",
"8600000US01585","ZCTA5 01585","63295","null","31071","null",
"8600000US01588","ZCTA5 01588","80434","null","10126","null",
"8600000US01590","ZCTA5 01590","108971","null","16189","null",
"8600000US01602","ZCTA5 01602","71239","null","6366","null",
"8600000US01603","ZCTA5 01603","45969","null","5403","null",
"8600000US01604","ZCTA5 01604","59123","null","3850","null",
"8600000US01605","ZCTA5 01605","42683","null","3533","null",
"8600000US01606","ZCTA5 01606","72050","null","7844","null",
"8600000US01607","ZCTA5 01607","53838","null","10522","null",
"8600000US01608","ZCTA5 01608","31504","null","4731","null",
"8600000US01609","ZCTA5 01609","45679","null","4404","null",
"8600000US01610","ZCTA5 01610","33326","null","4480","null",
"8600000US01611","ZCTA5 01611","100375","null","25624","null",
"8600000US01612","ZCTA5 01612","116313","null","23391","null",
"8600000US01701","ZCTA5 01701","116971","null","9398","null",
"8600000US01702","ZCTA5 01702","67048","null","5211","null",
"8600000US01718","ZCTA5 01718","142813","null","102823","null",
"8600000US01719","ZCTA5 01719","126597","null","14883","null",
"8600000US01720","ZCTA5 01720","138750","null","13061","null",
"8600000US01721","ZCTA5 01721","118348","null","14408","null",
"8600000US01730","ZCTA5 01730","133824","null","13847","null",
"8600000US01731","ZCTA5 01731","105625","null","16470","null",
"8600000US01740","ZCTA5 01740","167708","null","26437","null",
"8600000US01741","ZCTA5 01741","197530","null","43060","null",
"8600000US01742","ZCTA5 01742","160448","null","8192","null",
"8600000US01745","ZCTA5 01745","125000","null","9978","null",
"8600000US01746","ZCTA5 01746","137589","null","10839","null",
"8600000US01747","ZCTA5 01747","110582","null","5754","null",
"8600000US01748","ZCTA5 01748","172683","null","20504","null",
"8600000US01749","ZCTA5 01749","96038","null","7244","null",
"8600000US01752","ZCTA5 01752","83469","null","7824","null",
"8600000US01754","ZCTA5 01754","107891","null","11735","null",
"8600000US01756","ZCTA5 01756","126806","null","44360","null",
"8600000US01757","ZCTA5 01757","86203","null","6554","null",
"8600000US01760","ZCTA5 01760","115588","null","9955","null",
"8600000US01770","ZCTA5 01770","216406","null","33785","null",
"8600000US01772","ZCTA5 01772","163438","null","14164","null",
"8600000US01773","ZCTA5 01773","156607","null","33445","null",
"8600000US01775","ZCTA5 01775","143711","null","11193","null",
"8600000US01776","ZCTA5 01776","195073","null","9106","null",
"8600000US01778","ZCTA5 01778","192961","null","22477","null",
"8600000US01801","ZCTA5 01801","92084","null","5869","null",
"8600000US01803","ZCTA5 01803","121433","null","6483","null",
"8600000US01810","ZCTA5 01810","153315","null","6978","null",
"8600000US01821","ZCTA5 01821","116445","null","12335","null",
"8600000US01824","ZCTA5 01824","123087","null","9978","null",
"8600000US01826","ZCTA5 01826","92533","null","7305","null",
"8600000US01827","ZCTA5 01827","158523","null","27783","null",
"8600000US01830","ZCTA5 01830","62318","null","5112","null",
"8600000US01832","ZCTA5 01832","67016","null","6000","null",
"8600000US01833","ZCTA5 01833","122600","null","18713","null",
"8600000US01834","ZCTA5 01834","111056","null","11553","null",
"8600000US01835","ZCTA5 01835","84638","null","4643","null",
"8600000US01840","ZCTA5 01840","25077","null","5701","null",
"8600000US01841","ZCTA5 01841","45486","null","2182","null",
"8600000US01843","ZCTA5 01843","54283","null","8983","null",
"8600000US01844","ZCTA5 01844","83532","null","4101","null",
"8600000US01845","ZCTA5 01845","113916","null","6936","null",
"8600000US01850","ZCTA5 01850","55837","null","5885","null",
"8600000US01851","ZCTA5 01851","69548","null","6342","null",
"8600000US01852","ZCTA5 01852","65445","null","6784","null",
"8600000US01854","ZCTA5 01854","55461","null","6499","null",
"8600000US01860","ZCTA5 01860","79909","null","17781","null",
"8600000US01862","ZCTA5 01862","107964","null","13741","null",
"8600000US01863","ZCTA5 01863","112568","null","13657","null",
"8600000US01864","ZCTA5 01864","123042","null","15826","null",
"8600000US01867","ZCTA5 01867","131515","null","19223","null",
"8600000US01876","ZCTA5 01876","105480","null","6445","null",
"8600000US01879","ZCTA5 01879","114313","null","13918","null",
"8600000US01880","ZCTA5 01880","104609","null","8868","null",
"8600000US01886","ZCTA5 01886","149437","null","9565","null",
"8600000US01887","ZCTA5 01887","133873","null","7782","null",
"8600000US01890","ZCTA5 01890","173058","null","12175","null",
"8600000US01901","ZCTA5 01901","26403","null","20671","null",
"8600000US01902","ZCTA5 01902","52834","null","6321","null",
"8600000US01904","ZCTA5 01904","87639","null","14346","null",
"8600000US01905","ZCTA5 01905","62623","null","5320","null",
"8600000US01906","ZCTA5 01906","88348","null","6693","null",
"8600000US01907","ZCTA5 01907","100927","null","21788","null",
"8600000US01908","ZCTA5 01908","94243","null","3977","null",
"8600000US01913","ZCTA5 01913","81027","null","7271","null",
"8600000US01915","ZCTA5 01915","84354","null","6086","null",
"8600000US01921","ZCTA5 01921","179375","null","25472","null",
"8600000US01922","ZCTA5 01922","176250","null","82499","null",
"8600000US01923","ZCTA5 01923","99269","null","9160","null",
"8600000US01929","ZCTA5 01929","109323","null","24454","null",
"8600000US01930","ZCTA5 01930","76260","null","6216","null",
"8600000US01937","ZCTA5 01937","-","-","**","**",
"8600000US01938","ZCTA5 01938","103941","null","8053","null",
"8600000US01940","ZCTA5 01940","136023","null","19547","null",
"8600000US01944","ZCTA5 01944","178250","null","28586","null",
"8600000US01945","ZCTA5 01945","131293","null","13052","null",
"8600000US01949","ZCTA5 01949","145525","null","29479","null",
"8600000US01950","ZCTA5 01950","110740","null","17698","null",
"8600000US01951","ZCTA5 01951","115719","null","17236","null",
"8600000US01952","ZCTA5 01952","81755","null","11979","null",
"8600000US01960","ZCTA5 01960","80679","null","3206","null",
"8600000US01966","ZCTA5 01966","87149","null","9725","null",
"8600000US01969","ZCTA5 01969","118851","null","12134","null",
"8600000US01970","ZCTA5 01970","66495","null","4803","null",
"8600000US01982","ZCTA5 01982","115203","null","16554","null",
"8600000US01983","ZCTA5 01983","144258","null","19012","null",
"8600000US01984","ZCTA5 01984","142734","null","33464","null",
"8600000US01985","ZCTA5 01985","151500","null","23072","null",
"8600000US02019","ZCTA5 02019","103258","null","7053","null",
"8600000US02021","ZCTA5 02021","107442","null","9140","null",
"8600000US02025","ZCTA5 02025","141036","null","29180","null",
"8600000US02026","ZCTA5 02026","101730","null","4743","null",
"8600000US02030","ZCTA5 02030","250,000+","250,000+","***","***",
"8600000US02032","ZCTA5 02032","158065","null","29018","null",
"8600000US02035","ZCTA5 02035","92978","null","6624","null",
"8600000US02038","ZCTA5 02038","118193","null","9910","null",
"8600000US02043","ZCTA5 02043","147520","null","18436","null",
"8600000US02045","ZCTA5 02045","105403","null","10289","null",
"8600000US02047","ZCTA5 02047","87174","null","85771","null",
"8600000US02048","ZCTA5 02048","120694","null","11405","null",
"8600000US02050","ZCTA5 02050","104209","null","6504","null",
"8600000US02052","ZCTA5 02052","174417","null","29914","null",
"8600000US02053","ZCTA5 02053","139688","null","13567","null",
"8600000US02054","ZCTA5 02054","114255","null","23707","null",
"8600000US02056","ZCTA5 02056","159914","null","18370","null",
"8600000US02061","ZCTA5 02061","162091","null","10949","null",
"8600000US02062","ZCTA5 02062","90341","null","7147","null",
"8600000US02066","ZCTA5 02066","127646","null","19015","null",
"8600000US02067","ZCTA5 02067","144280","null","11560","null",
"8600000US02071","ZCTA5 02071","114044","null","13937","null",
"8600000US02072","ZCTA5 02072","90201","null","7857","null",
"8600000US02081","ZCTA5 02081","124528","null","10550","null",
"8600000US02090","ZCTA5 02090","159776","null","11813","null",
"8600000US02093","ZCTA5 02093","136563","null","14352","null",
"8600000US02108","ZCTA5 02108","152442","null","38135","null",
"8600000US02109","ZCTA5 02109","156119","null","11006","null",
"8600000US02110","ZCTA5 02110","111971","null","28722","null",
"8600000US02111","ZCTA5 02111","52663","null","20062","null",
"8600000US02113","ZCTA5 02113","97686","null","7795","null",
"8600000US02114","ZCTA5 02114","107162","null","7437","null",
"8600000US02115","ZCTA5 02115","45827","null","3911","null",
"8600000US02116","ZCTA5 02116","115825","null","9166","null",
"8600000US02118","ZCTA5 02118","62850","null","9935","null",
"8600000US02119","ZCTA5 02119","32424","null","5167","null",
"8600000US02120","ZCTA5 02120","46843","null","6258","null",
"8600000US02121","ZCTA5 02121","36479","null","5913","null",
"8600000US02122","ZCTA5 02122","72158","null","12505","null",
"8600000US02124","ZCTA5 02124","63118","null","4435","null",
