"cz","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cz6501","Ellijay, GA",41487
"cz25602","Harrisburg, IL",41462
"cz36901","Crescent City, CA & OR",41374
"cz15700","Scioto, OH",41362
"cz32702","Stephenville, TX",41354
"cz8000","Sumter, SC",41273
"cz32302","Brady, TX",41249
"cz36902","Roseburg, OR",41225
"cz1302","Florence, SC",41173
"cz35905","Loa, UT",41165
"cz25701","Cape Girardeau, MO",41131
"cz9200","Griffin, GA",41130
"cz12903","Danville, KY",41056
"cz28503","Trinidad, CO",40984
"cz29101","Concordia, KS",40967
"cz6502","Cleveland, TN",40906
"cz27003","Ainsworth, NE",40885
"cz35402","Cortez, CO & UT",40883
"cz12600","Wayne, IN",40860
"cz5800","Dickson, TN",40797
"cz1600","Wilson, NC",40787
"cz11403","Sault Ste. Marie, MI",40728
"cz17100","Huntington, KY & OH & WV",40678
"cz38402","Pullman, ID & WA",40609
"cz26104","Trenton, MO",40609
"cz32304","Uvalde, TX",40523
"cz33901","Ada, OK",40488
"cz30100","Fort Smith, AR & OK",40486
"cz3600","Alexandria, LA",40484
"cz31503","Laredo, TX",40464
"cz30902","Littlefield, TX",40449
"cz26101","Moberly, MO",40400
"cz200","Morristown, TN",40383
"cz100","Johnson City, TN & VA",40369
"cz7800","Ocala, FL",40313
"cz27603","Southwest Jackson UT, SD",40272
"cz30602","Alamogordo, NM",40160
"cz34604","Lusk, WY",40134
"cz4402","Richmond, KY",40086
"cz11800","Mount Pleasant, MI",40056
"cz31304","Mason, TX",40027
"cz26105","Polk, MO",39975
"cz27004","Winner, SD",39864
"cz32402","Sweetwater, TX",39818
"cz28402","Limon, CO",39799
"cz12402","Grayling charter, MI",39765
"cz21002","Houghton, MI",39743
"cz6100","Gadsden, AL",39685
"cz34401","Dillon, MT",39685
"cz26103","Brookfield, MO",39647
"cz4302","Searcy, AR",39516
"cz12401","Alpena, MI",39505
"cz16801","Beckley, WV",39460
"cz35802","Ontario, ID & OR",39408
"cz10501","Columbus, AL & MS",39389
"cz30403","Okmulgee, OK",39367
"cz30200","Muskogee, OK",39361
"cz12001","Big Rapids, MI",39358
"cz10200","Albany, GA",39335
"cz1800","Goldsboro, NC",39296
"cz29504","Sedalia, MO",39277
"cz26107","Kirksville, MO",39176
"cz20002","Calais, ME",39133
"cz29800","Aurora, MO",39127
"cz39205","John Day, OR",39033
"cz32303","Junction, TX",38957
"cz3901","Monroe, LA",38854
"cz5000","Tupelo, MS",38850
"cz16703","Buckhannon, WV",38842
"cz7700","Lake City, FL",38826
"cz34001","Hot Springs, AR",38815
"cz27604","Murdo, SD",38787
"cz30000","Russellville, AR",38762
"cz4903","Lexington, TN",38742
"cz34501","Bonners Ferry, ID",38726
"cz1201","Franklin, GA & NC",38707
"cz26303","Turtle Mountain UT, ND",38661
"cz1002","Morganton, NC",38522
"cz25300","Union City, KY & TN",38455
"cz8402","Washington, GA",38395
"cz36502","Burns, OR",38330
"cz2200","South Boston, VA",38272
"cz31502","Pearsall, TX",38152
"cz33603","Frederick, OK",38129
"cz11201","Bluefield, VA & WV",38073
"cz27602","Eagle Butte, SD",38012
"cz20003","Presque Isle, ME",37998
